date,listeners,monthly listeners,monthly active listeners,super listeners,streams,playlist adds,saves,followers
2024-08-16,721483,8892106,4804378,205392,1281646,44005,25103,2020876
2024-08-17,675665,8912015,4807163,205889,1226861,38710,21277,2021376
2024-08-18,650491,8931376,4812394,206644,1191256,40651,20592,2021891
2024-08-19,697963,8956358,4818509,207294,1252952,40534,21270,2022272
2024-08-20,697434,8974698,4823086,207762,1247656,38565,20684,2022762
2024-08-21,703747,8989147,4826974,208172,1262296,38252,20904,2023302
2024-08-22,727917,9014433,4830406,208351,1285871,37802,21030,2023748
2024-08-23,724692,9043731,4832432,208578,1266382,39103,19587,2024254
2024-08-24,688031,9063387,4834434,208510,1220243,36579,18587,2024708
2024-08-25,653771,9083888,4836882,208665,1172887,37400,17743,2025099
2024-08-26,693875,9111919,4840271,209012,1216553,36348,18541,2025533
2024-08-27,697377,9136512,4842974,209094,1206990,36390,18720,2025901
2024-08-28,723337,9163273,4845046,209180,1250518,36768,18956,2026304
2024-08-29,731146,9179346,4845969,209347,1277315,36612,19267,2026704
2024-08-30,718520,9170991,4846355,209538,1262765,36104,18289,2027113
2024-08-31,674668,9178416,4845743,209593,1206936,34900,17276,2027568
2024-09-01,642250,9177545,4844247,209531,1155226,35773,17416,2027928
2024-09-02,699129,9196438,4845069,209401,1228465,36940,18599,2028375
2024-09-03,707573,9194535,4845944,209329,1225640,35438,18424,2028725
2024-09-04,689375,9182852,4845641,209497,1197355,34298,16918,2029085
2024-09-05,722186,9189432,4843808,209385,1242842,34396,17886,2029448
2024-09-06,725743,9179245,4843311,209749,1257282,35143,17756,2029813
2024-09-07,685685,9181708,4841010,209640,1211218,35519,16754,2030218
2024-09-08,656927,9167007,4839776,209822,1168109,36532,17568,2030596
2024-09-09,703764,9163583,4838779,209723,1226839,36685,18611,2031000
2024-09-10,720017,9160052,4838130,210134,1240748,34790,18641,2031333
2024-09-11,705261,9144380,4834780,210103,1229794,35342,18454,2031723
2024-09-12,698531,9156643,4835553,210368,1225150,34169,17636,2032155
2024-09-13,722527,9169984,4831212,210102,1266884,35386,18226,2032587
2024-09-14,701673,9194241,4826266,209894,1243709,35760,18313,2033072
2024-09-15,663483,9205052,4819114,209438,1186960,37928,17795,2033553
2024-09-16,696302,9206400,4812919,208603,1211062,36641,18295,2033990
2024-09-17,693012,9199418,4808053,208308,1207863,34840,18236,2034387
2024-09-18,697294,9194258,4803459,207858,1212536,34844,17582,2034813
2024-09-19,702195,9173468,4797599,207359,1218115,34642,18002,2035191
2024-09-20,752882,9181542,4798321,207530,1310231,40781,25050,2035643
2024-09-21,725693,9209372,4798731,207766,1263692,38038,21509,2036146
2024-09-22,684755,9236892,4799988,208142,1205869,39728,19695,2036626
2024-09-23,692725,9224391,4799287,208556,1221561,38511,19973,2037066
2024-09-24,725032,9226577,4802555,208997,1270590,36284,20691,2037448
2024-09-25,729869,9214484,4805423,209224,1278694,37259,20253,2037887
2024-09-26,699084,9186842,4806176,209555,1231776,36212,18910,2038344
2024-09-27,722762,9192113,4805347,209556,1252821,36703,19393,2038785
2024-09-28,689172,9190921,4804972,209707,1209884,35651,17303,2039245
2024-09-29,626331,9168322,4802558,209605,1114546,36305,16175,2039705
2024-09-30,667221,9136478,4802321,209820,1158820,36599,16892,2040135
2024-10-01,678544,9112650,4801240,209427,1169380,35767,16301,2040505
2024-10-02,716728,9138047,4803010,209532,1226462,36577,18084,2040921
2024-10-03,738772,9161904,4806386,209619,1258879,35791,18769,2041360
2024-10-04,748062,9178894,4811336,209796,1270722,35814,17961,2042144
2024-10-05,697265,9190379,4814606,209902,1202810,34616,16506,2042565
2024-10-06,664140,9208211,4815131,209714,1159714,36780,17659,2043015
2024-10-07,727925,9230207,4818580,209669,1241504,36506,18951,2043382
